tweet_id,retweet_count,favorite_count
860981674716409858,1847,0
860924035999428608,675,0
860563773140209665,1847,6693
860524505164394496,4582,21182
860276583193509888,3055,16520
860184849394610176,5103,14949
860177593139703809,26594,0
859924526012018688,3572,17559
859851578198683649,3057,13940
859607811541651456,1359,16783
859196978902773760,26165,80258
859074603037188101,11916,30323
858860390427611136,7044,0
858843525470990336,3017,14079
858471635011153920,4238,19409
858107933456039936,2530,14180
857989990357356544,2258,14443
857746408056729600,9309,30688
857393404942143489,1436,5287
857263160327368704,3955,18195
857214891891077121,16,203
857062103051644929,146,0
857029823797047296,3470,16994
856543823941562368,2535,14782
856526610513747968,1650,10793
856288084350160898,15,489
856282028240666624,5562,25153
855862651834028034,21,302
855860136149123072,850,4394
855857698524602368,1853,10830
855851453814013952,16073,41798
855818117272018944,4796,24208
855459453768019968,7279,27013
855245323840757760,5244,0
855138241867124737,36,0
854732716440526848,5322,20612
854482394044301312,5994,26484
854365224396361728,4132,17138
854120357044912130,6569,29138
854010172552949760,2783,14793
853760880890318849,5102,25996
853639147608842240,8830,31430
853299958564483072,3159,14114
852936405516943360,1782,0
852912242202992640,1591,8222
852672615818899456,1903,13602
852553447878664193,3099,14838
852311364735569921,8836,30263
852226086759018497,6069,18298
852189679701164033,1414,10549
851591660324737024,3116,14917
851464819735769094,6289,22211
851224888060895234,5156,18979
850753642995093505,8051,28052
850380195714523136,2324,12038
850333567704068097,301,3183
850145622816686080,3384,15002
850019790995546112,4354,18716
849776966551130114,6793,27841
849668094696017920,4428,0
849412302885593088,2819,14634
849336543269576704,1683,10526
849051919805034497,7599,38896
848690551926992896,3913,23211
848324959059550208,4140,22764
848213670039564288,644,7526
848212111729840128,2711,14994
847978865427394560,2911,0
847971574464610304,394,0
847962785489326080,4559,21684
847842811428974592,1186,4996
847617282490613760,376,6453
847606175596138505,3075,17305
847251039262605312,3907,18919
847157206088847362,5243,18329
847116187444137987,2868,19823
846874817362120707,3539,18568
846514051647705089,10340,41054
846505985330044928,2752,13032
846153765933735936,8145,29008
846139713627017216,9139,28726
846042936437604353,2579,14768
845812042753855489,7841,26943
845677943972139009,4371,23380
845397057150107648,1616,7070
845306882940190720,4843,21554
845098359547420673,6920,0
